x,Consumer (Major taste),Consumer (Minor taste),Producer ( Major taste),Producer (Minor taste)
101,363.2380952,183.6111111,685.8095238,561.5555556
102,363.2142857,185.4444444,689.1428571,570.4444444
103,361.5238095,189.7222222,690.952381,580.6666667
104,361.7857143,193.8888889,692.6666667,588.6666667
105,361.7857143,193.8888889,692.6666667,588.6666667
106,359.0238095,199.7222222,692.952381,598.6666667
107,359.0238095,199.7222222,692.952381,598.6666667
108,355.452381,200.5555556,693.2380952,605.7777778
109,352.7142857,200.5555556,693.2380952,613.7777778
110,352.7142857,200.5555556,693.2380952,613.7777778
111,352.7142857,200.5555556,693.2380952,613.7777778
112,352.7142857,200.5555556,693.2380952,613.7777778
113,352.7142857,200.5555556,693.2380952,613.7777778
114,352.7142857,200.5555556,693.2380952,613.7777778
115,352.7142857,200.5555556,693.2380952,613.7777778
116,349.6190476,200.5555556,693.2380952,618.8888889
117,349.6190476,200.5555556,693.2380952,618.8888889
118,349.6190476,200.5555556,693.2380952,618.8888889
119,349.6190476,200.5555556,693.2380952,618.8888889
120,349.6190476,200.5555556,693.2380952,618.8888889
121,349.6190476,200.5555556,693.2380952,618.8888889
122,349.6190476,200.5555556,693.2380952,618.8888889
123,349.6190476,200.5555556,693.2380952,618.8888889
124,349.6190476,200.5555556,693.2380952,618.8888889
125,349.6190476,200.5555556,693.2380952,618.8888889
126,349.6190476,200.5555556,693.2380952,618.8888889
127,349.6190476,200.5555556,693.2380952,618.8888889
128,349.6190476,200.5555556,693.2380952,618.8888889
129,349.6190476,200.5555556,693.2380952,618.8888889
130,349.6190476,200.5555556,693.2380952,618.8888889
