x,Consumer (Major taste),Consumer (Minor taste),Producer (Major taste),Producer (Minor taste)
97,405.9285714,274.6666667,653.8095238,541.7777778
98,402.8333333,273,657.047619,546.4444444
99,400.2142857,270.2222222,659.1428571,554.6666667
100,397.3571429,268.2777778,661.6190476,566.4444444
101,395.452381,264.9444444,664.6666667,572.6666667
102,392.7142857,261.3333333,666.1904762,581.3333333
103,389.7380952,256.8888889,669.5238095,582.6666667
104,387.7142857,254.3888889,671.7142857,589.3333333
105,387.7142857,254.3888889,671.7142857,589.3333333
106,387.7142857,254.3888889,671.7142857,589.3333333
107,385.6904762,251.6111111,674.3809524,590.6666667
108,385.6904762,251.6111111,674.3809524,590.6666667
109,383.4285714,247.7222222,675.7142857,597.5555556
110,383.4285714,247.7222222,675.7142857,597.5555556
111,383.4285714,247.7222222,675.7142857,597.5555556
112,381.1666667,242.4444444,676.6666667,600.2222222
113,381.1666667,242.4444444,676.6666667,600.2222222
114,381.1666667,242.4444444,676.6666667,600.2222222
115,381.1666667,242.4444444,676.6666667,600.2222222
116,378.6666667,239.6666667,678.5714286,603.3333333
117,378.6666667,239.6666667,678.5714286,603.3333333
118,378.6666667,239.6666667,678.5714286,603.3333333
119,378.6666667,239.6666667,678.5714286,603.3333333
