x,Cosumer (Major tag),Consumer (Minor tag),Producer (Major tag),(Producer Minor tag)
70,449.4285714,315,623.047619,182.4444444
71,451.2142857,313.7222222,627.7142857,194.8888889
72,454.0952381,312.1111111,633.7142857,199.1111111
73,454.9761905,310.1111111,639.7142857,202.4444444
74,457.7142857,308.6666667,646,210.2222222
75,457.0952381,307.6111111,650.6666667,216.4444444
76,455.4047619,305.2222222,652.5714286,227.3333333
77,454.1190476,302.6666667,656.1904762,235.5555556
78,453.452381,301.2777778,660,241.1111111
79,450.9047619,299.6111111,662.8571429,252.6666667
80,448.8809524,296.5555556,664.2857143,266.2222222
81,446.5952381,294.6111111,666.1904762,278.2222222
82,444.1904762,292.3888889,667.8095238,299.5555556
83,441.3333333,291.2777778,669.8095238,308.6666667
84,438.0714286,289.6111111,670.6666667,321.3333333
85,435.6904762,288.5,672,336.6666667
86,433.3095238,286.7777778,672.952381,348.8888889
87,431.4047619,284.8333333,674,367.5555556
88,428.6666667,282.2222222,674.7619048,380.6666667
89,425.5714286,280.2222222,676.8571429,390.8888889
90,422.952381,277.4444444,679.5238095,396
91,420.5714286,274.3888889,680.5714286,414
92,418.0714286,271.8888889,683.2380952,421.3333333
93,415.2142857,269.9444444,684,439.3333333
94,412.7142857,267.4444444,686,448.8888889
95,410.3333333,266.6111111,687.2380952,457.3333333
96,408.1904762,264.9444444,688.3809524,477.7777778
97,405.5714286,263.5555556,689.1428571,493.3333333
98,403.1904762,261.8888889,689.9047619,499.5555556
99,400.8095238,259.9444444,691.2380952,506
100,400.8095238,259.9444444,691.2380952,506
101,397.8333333,258.2777778,692.0952381,523.1111111
102,394.6190476,256.3333333,693.047619,530.2222222
103,394.6190476,256.3333333,693.047619,530.2222222
104,394.6190476,256.3333333,693.047619,530.2222222
105,394.6190476,256.3333333,693.047619,530.2222222
106,392.3571429,254.1111111,694,535.1111111
107,389.6190476,250.7777778,696,536
108,389.6190476,250.7777778,696,536
109,389.6190476,250.7777778,696,536
110,386.4047619,248.5555556,697.7142857,542.2222222
111,386.4047619,248.5555556,697.7142857,542.2222222
112,384.3809524,247.1666667,698.6666667,547.5555556
113,381.4047619,244.1111111,699.1428571,549.3333333
114,381.4047619,244.1111111,699.1428571,549.3333333
115,381.4047619,244.1111111,699.1428571,549.3333333
116,381.4047619,244.1111111,699.1428571,549.3333333
117,381.4047619,244.1111111,699.1428571,549.3333333
118,379.0238095,241.0555556,700.7619048,551.7777778
119,379.0238095,241.0555556,700.7619048,551.7777778
120,379.0238095,241.0555556,700.7619048,551.7777778
121,377.4761905,237.4444444,701.9047619,552.8888889
122,377.4761905,237.4444444,701.9047619,552.8888889
123,377.4761905,237.4444444,701.9047619,552.8888889
124,377.4761905,237.4444444,701.9047619,552.8888889
125,377.4761905,237.4444444,701.9047619,552.8888889
126,377.4761905,237.4444444,701.9047619,552.8888889
127,377.4761905,237.4444444,701.9047619,552.8888889
128,377.4761905,237.4444444,701.9047619,552.8888889
