x,Consumer (Major taste),Consumer (Minor taste),Producer (Major taste),Producer ( Minor taste)
53,167.8809524,99.83333333,313.9047619,325.7777778
54,170.2142857,99.22222222,322.4761905,331.5555556
55,172.952381,102.0555556,327.5238095,341.5555556
56,175.952381,103.0555556,339.9047619,347.3333333
57,177.1666667,104.4444444,344.3809524,351.1111111
58,179.4047619,105.8888889,351.6190476,355.3333333
59,181.7619048,108.1666667,357.8095238,367.3333333
60,184.2619048,109.2777778,364.0952381,371.7777778
61,187.4761905,110.2777778,368.4761905,377.7777778
62,190.6190476,112.8333333,373.1428571,385.1111111
63,193.5,114.7777778,379.6190476,392.6666667
64,196.3333333,115.7222222,385.1428571,401.1111111
65,199.6190476,116.3333333,390,406
66,203.1190476,118.3888889,395.7142857,409.7777778
67,207.452381,120.6111111,405.6190476,414.4444444
68,211.1666667,121.7777778,414.1904762,418.6666667
69,214.0238095,126.1111111,418.7619048,423.7777778
70,216.8095238,129.3333333,426.1904762,434.2222222
71,221.8095238,130.8888889,431.8095238,437.5555556
72,224.2142857,132.5,440.6666667,442.8888889
73,227.4285714,134.2222222,447.6190476,445.3333333
74,231.2857143,136.6666667,451.7142857,461.7777778
75,235.3095238,137.7222222,458.7619048,465.1111111
76,237.2142857,138.8333333,463.9047619,476.4444444
77,240.3571429,141.4444444,469.9047619,481.1111111
78,244.0238095,143.0555556,476.7619048,485.3333333
79,247.1904762,145.2222222,482.4761905,490.2222222
80,250.6666667,146.7777778,492.6666667,500.4444444
81,254.452381,149.2777778,497.6190476,506.4444444
82,257.9761905,151.7777778,505.4285714,506.8888889
83,261.0952381,152.7222222,512,514.2222222
84,265.2380952,154.5555556,517.4285714,518.6666667
85,265.2380952,154.5555556,517.4285714,518.6666667
86,268.7142857,156.2777778,520.3809524,531.1111111
87,272.2857143,158.9444444,531.6190476,534.4444444
88,275.4761905,161.7777778,536.1904762,539.5555556
89,279.2380952,164.3888889,541.5238095,546.8888889
90,281.7619048,166.5,550.2857143,554.2222222
91,285.1428571,170,555.2380952,560
92,287.8571429,171.8888889,562.5714286,564.8888889
93,290.452381,174.7777778,566.3809524,573.5555556
94,293.3809524,176.0555556,572.4761905,576.2222222
95,296.8333333,177.5555556,577.1428571,586.6666667
96,300.5,179.7777778,581.8095238,592.2222222
97,300.5,179.7777778,581.8095238,592.2222222
98,303.1666667,182.3333333,588.2857143,598.2222222
99,307.2380952,184.2777778,593.4285714,602
100,307.2380952,184.2777778,593.4285714,602
101,311.1190476,185.1111111,599.8095238,608.6666667
102,311.1190476,185.1111111,599.8095238,608.6666667
103,314.452381,188.5555556,606.1904762,613.1111111
104,317.3095238,192.3888889,611.047619,616.8888889
105,319.9285714,194.3333333,617.3333333,622
106,322.6428571,196.6111111,623.1428571,624.2222222
107,325.2142857,198.2777778,627.5238095,626.8888889
108,329,199.8333333,631.4285714,630.4444444
109,329,199.8333333,631.4285714,630.4444444
110,329,199.8333333,631.4285714,630.4444444
111,329,199.8333333,631.4285714,630.4444444
112,329,199.8333333,631.4285714,630.4444444
113,329,199.8333333,631.4285714,630.4444444
114,329,199.8333333,631.4285714,630.4444444
115,329,199.8333333,631.4285714,630.4444444
116,329,199.8333333,631.4285714,630.4444444
117,330.6428571,201.1111111,635.4285714,633.7777778
118,332.952381,201.9444444,638.5714286,636
119,334.6666667,204,641.4285714,639.7777778
120,334.6666667,204,641.4285714,639.7777778
121,334.6666667,204,641.4285714,639.7777778
122,334.6666667,204,641.4285714,639.7777778
123,334.6666667,204,641.4285714,639.7777778
124,334.6666667,204,641.4285714,639.7777778
125,337.3809524,206.1111111,643.047619,641.7777778
126,337.3809524,206.1111111,643.047619,641.7777778
127,337.3809524,206.1111111,643.047619,641.7777778
128,337.3809524,206.1111111,643.047619,641.7777778
129,337.3809524,206.1111111,643.047619,641.7777778
130,337.3809524,206.1111111,643.047619,641.7777778
131,337.3809524,206.1111111,643.047619,641.7777778
132,337.3809524,206.1111111,643.047619,641.7777778
133,337.3809524,206.1111111,643.047619,641.7777778
134,337.3809524,206.1111111,643.047619,641.7777778
